blueAvg_S
blueMax_S
BurnScarAvg
BurnScarMax
BurnScarSpike0
CIDrop1_S
CIMin_S
greenMax_S
numSentinel
MIRBIMax
MIRBISpike0
MIRIBI80
NBR2Drop1
NBR2Min
NBRAvg
NBRDrop0
nirDrop1_S
red20_S
redEdge3Min
SWIR1Min
SWIR2Avg
SWIR2Min
SWIR2Drop1
baiAvg
baiDrop0
bai20
bareSoil20
blueAvg
blueMin
blueMax
CIDrop0
CIMin
CISpike1
CI80
greenMax
greenMin
greenAvg
nirAvg
nirDrop2
nir20
red20
redAvg
redDrop0
red80
srAvg
srDrop2
msaviMax
msaviAvg
ndviAvg
ndviMin
nirDrop0
nirDrop1
CIMax
bareSoilDrop1
redMin
