blueAvg
blueMax
BurnScarAvg
BurnScarMax
BurnScarSpike0
CIDrop1
CIMin
greenMax
imgCount
MIRBIMax
MIRBISpike0
MIRIBI80
NBR2Drop1
NBR2Min
NBRAvg
NBRDrop0
nirDrop1
red20
redEdge3Min
SWIR1Min
SWIR2Avg
SWIR2Min
SWIR2Drop1
