blueAvg_S
blueMax_S
BurnScarAvg
BurnScarSpike0
CIDrop1_S
CIMin_S
greenMax_S
numSentinel
MIRBIMax
MIRBISpike0
NBR2Drop1
NBR2Min
NBRAvg
nirDrop1_S
red20_S
redEdge3Min
SWIR1Min
SWIR2Avg
SWIR2Min
SWIR2Drop1
baiAvg
baiDrop0
bai20
bareSoil20
blueAvg
blueMin
blueMax
CIDrop0
CIMin
CISpike1
CI80
greenMax
greenAvg
nirAvg
nirDrop2
red20
redAvg
redDrop0
red80
srAvg
srDrop2
msaviMax
msaviAvg
ndviAvg
ndviMin
nirDrop0
nirDrop1
bareSoilDrop1
redMin
numBASMA
BAS_SAvg
BAS_CharMax
BAS_CharStdv
BAS_SDrop0
