baiAvg
baiDrop0
baiDrop1
baiDrop2
bai20
baiMin
bareSoilAvg
bareSoilDrop0
bareSoilDrop1
bareSoilDrop2
bareSoilMax
bareSoilMin
bareSoil10
bareSoil20
bareSoilRng
blueAvg
blueMin
blueMax
blueSpike0
blueSpike1
blueSpike2
CIAvg
CIDrop0
CIDrop1
CIDrop2
CIMin
CIMax
CISpike0
CISpike1
CISpike2
CI80
CiRng
greenMax
greenMin
greenAvg
nirAvg
nirDrop0
nirDrop1
nirDrop2
nirMin
nir20
red20
redAvg
redDrop0
redDrop1
redDrop2
redMin
redMax
red80
srAvg
srDrop0
srDrop1
srDrop2
ndviMax
evi2Max
saviMax
msaviMax
evi2Avg
saviAvg
msaviAvg
ndviAvg
ndviMin
