baiAvg
baiDrop0
bai20
bareSoil20
blueAvg
blueMin
blueMax
CIDrop0
CIMin
CISpike1
CI80
greenMax
greenMin
greenAvg
nirAvg
nirDrop2
nir20
red20
redAvg
redDrop0
red80
srAvg
srDrop2
msaviMax
msaviAvg
ndviAvg
ndviMin
nirDrop0
nirDrop1
CIMax
bareSoilDrop1
redMin
