baiAvg
baiDrop1
baiMin
bareSoilDrop1
bareSoilMax
bareSoil10
blueAvg
blueMin
blueMax
blueSpike1
CIAvg
CIDrop0
CIMax
CISpike2
greenMax
greenMin
greenAvg
nirAvg
nirDrop1
nirMin
red20
redAvg
redDrop1
red80
srAvg
srDrop0
MIRBISpike0
redEdge3Drop1
blueMax_S
nirDrop_S
nirMIn_S
redEge3Min
redEdge320
BurnScarSpike1
MIRBI80
BurnScar80
red20_S
redDrop1_S
SWIR2Min
CIMin_S
MIRBIMax
CIDrop1_S
SWIR1Min
redAvg_S
blueAvg_S
CIAvg_S
